local authority name	2001	2011	2021
Hackney	5277	4537	3104
Hammersmith and Fulham	6292	3519	3399
Hammersmith and Fulham	6495	5177	6131
Hammersmith and Fulham	6012	6090	5434
Hammersmith and Fulham	3783	3185	3210
Hammersmith and Fulham	6062	3803	3403
Hammersmith and Fulham	6066	3984	3800
Hammersmith and Fulham	6548	4147	4017
Hammersmith and Fulham	6606	4109	4153
Hammersmith and Fulham	6173	4007	4210
Hammersmith and Fulham	5135	3316	3441
Hammersmith and Fulham	6910	4262	3239
Hammersmith and Fulham	6741	4195	3594
Hammersmith and Fulham	6054	3226	3566
Hammersmith and Fulham	5151	4255	4766
Hammersmith and Fulham	6227	4709	4364
Hammersmith and Fulham	5654	2742	2513
Haringey	6834	5652	6234
Haringey	4860	5052	5185
Haringey	3647	6132	5501
Haringey	7189	5063	4529
Haringey	7549	2405	3230
Haringey	4659	3220	2539
Haringey	6895	2940	2368
Haringey	5658	3939	3022
Haringey	7028	2898	2592
Haringey	4331	4506	3865
Haringey	3639	5791	4690
Haringey	4404	4335	3702
Haringey	4749	3812	3300
Haringey	5866	2785	2534
Haringey	3553	2612	2285
Haringey	3887	6901	6134
Haringey	3822	6898	5958
Haringey	4904	4613	3808
Haringey	4554	3481	2868
Harrow	5185	4479	4310
Harrow	6370	1764	1408
Harrow	2999	3549	3141
Harrow	4363	3677	3221
Harrow	5262	3992	3178
Harrow	6503	2693	2485
Harrow	6702	3105	2687
Harrow	5519	5571	4943
Harrow	4595	3030	3050
Harrow	2837	2259	2318
Harrow	3459	8091	6830
Harrow	4059	7667	6474
Harrow	6652	4651	4834
Harrow	6590	2100	2472
Harrow	2945	8143	6395
Harrow	4743	7281	6740
Harrow	4898	5728	4660
Harrow	4401	3332	3099
Harrow	6278	2483	2062
Harrow	4163	2230	2529
Harrow	4684	1775	2137
Havering	11387	4061	4894
Havering	11603	6104	5451
Havering	11068	2497	3099
Havering	9993	1331	2209
Havering	13106	3273	3449
Havering	11590	3198	2920
Havering	11015	3618	3744
Havering	11649	2944	1931
Havering	11005	3670	2572
Havering	11495	2301	1764
Havering	11641	2426	2036
Havering	11933	1834	1648
Havering	11024	3877	2920
Havering	11622	5516	3880
Havering	11948	4311	2839
Havering	11529	4623	3183
Havering	10800	1989	1724
Havering	11957	1757	1319
Hillingdon	5774	2620	1934
Hillingdon	7643	2586	1757
Hillingdon	8175	6441	4619
Hillingdon	9331	6844	4695
Hillingdon	8702	2138	1393
Hillingdon	9515	2315	1794
Hillingdon	6279	3367	2365
Hillingdon	6642	5791	4018
Hillingdon	9493	2250	1629
Hillingdon	8404	1382	1140
Hillingdon	9100	2845	2405
Hillingdon	7293	2807	2674
Hillingdon	8015	11421	10870
Hillingdon	6327	12642	11057
Hillingdon	8498	6947	5851
Hillingdon	6861	12510	11215
Hillingdon	9262	7839	7180
Hillingdon	8197	9876	9629
Hillingdon	9278	12448	10911
Hillingdon	8310	11519	10372
Hillingdon	6372	11502	10053
Hillingdon	8773	10745	9012
Hounslow	7742	11324	9398
Hounslow	6866	10070	8529
Hounslow	6991	8338	7160
Hounslow	7373	5267	4413
Hounslow	3400	12521	11259
Hounslow	7225	7486	6028
Hounslow	9290	7916	6554
Hounslow	8553	12681	10684
Hounslow	8342	11756	11403
Hounslow	3268	3060	2013
Hounslow	3044	5551	3696
Hounslow	3733	10044	7641
Hounslow	3969	11011	8794
Hounslow	3615	4433	4202
Hounslow	6228	2905	2300
Hounslow	3107	4462	3379
Hounslow	7092	8728	6468
Hounslow	5457	4108	3814
Hounslow	6633	10277	9008
Hounslow	6493	5750	4358
Islington	6342	6232	4710
Islington	5991	3767	2443
Islington	6416	11115	9650
Islington	6437	7792	6277
Islington	5906	10429	7976
Islington	5492	8944	7136
Islington	6444	8255	6965
Islington	6233	5786	4351
Islington	6087	4801	3262
Islington	6148	5465	4912
Islington	6056	7222	5674
Islington	6338	2579	2692
Islington	6392	4161	3755
Islington	6505	6464	5433
Islington	7006	8308	7042
Islington	5991	5753	4995
Kensington and Chelsea	4161	2248	2045
Kensington and Chelsea	4449	5431	4208
Kensington and Chelsea	4145	8235	6326
Kensington and Chelsea	3889	5252	4238
Kensington and Chelsea	4240	8352	6834
Kensington and Chelsea	5015	1779	1405
Kensington and Chelsea	4213	1378	1108
Kensington and Chelsea	3299	2066	1472
Kensington and Chelsea	4982	931	955
Kensington and Chelsea	4345	1365	1341
Kensington and Chelsea	5496	2316	2097
Kensington and Chelsea	4191	5747	4748
Kensington and Chelsea	4341	1639	1551
Kensington and Chelsea	3978	6375	5940
Kensington and Chelsea	4795	4055	3481
Kensington and Chelsea	4742	4608	4605
Kensington and Chelsea	4778	5148	5329
Kensington and Chelsea	4535	6838	5734
Kingston upon Thames	6940	4797	3890
Kingston upon Thames	7401	4486	3383
Kingston upon Thames	6933	6840	5553
Kingston upon Thames	7467	5720	4445
Kingston upon Thames	7731	4299	4296
Kingston upon Thames	8463	7580	6557
Kingston upon Thames	6156	6664	5975
Kingston upon Thames	6507	5044	4281
Kingston upon Thames	6092	5925	5307
Kingston upon Thames	6380	5623	5306
Kingston upon Thames	6908	6325	5820
Kingston upon Thames	5881	6090	5177
Kingston upon Thames	6878	4625	4493
Kingston upon Thames	8014	6001	5295
Kingston upon Thames	7451	6318	5260
Kingston upon Thames	6608	3276	2337
Lambeth	4737	3757	2602
Lambeth	6394	3964	3012
Lambeth	7735	3816	2813
Lambeth	7630	3928	2748
Lambeth	4757	3467	2438
Lambeth	5627	2763	2325
Lambeth	7416	3033	2307
Lambeth	6243	2486	2110
Lambeth	6978	3083	2338
Lambeth	6034	3120	2455
Lambeth	6064	3020	2494
Lambeth	5784	2634	1992
Lambeth	6692	3152	2111
Lambeth	5684	3915	2939
Lambeth	7248	4886	3724
Lambeth	5829	3162	2644
Lambeth	6632	4808	3486
Lambeth	6654	3684	3313
Lambeth	6965	4586	4265
Lambeth	5711	4404	3936
Lambeth	5125	7664	6868
Lewisham	8420	3648	2907
Lewisham	8789	5548	4737
Lewisham	6685	3376	3070
Lewisham	7830	8007	7395
Lewisham	7805	3467	3029
Lewisham	10748	6737	6140
Lewisham	5359	5812	5328
Lewisham	8446	4077	3447
Lewisham	10493	4832	4474
Lewisham	6600	5538	5071
Lewisham	8278	3900	3286
Lewisham	6895	7739	6779
