local authority name,All usual residents,White British,White Irish,White Gypsy/Irish Traveller,White Other,Mixed White and Asian,Mixed White and Black African,Mixed White and Black Caribbean,Mixed Other,Asian Bangladeshi,Asian Chinese,Asian Indian,Asian Pakistani,Asian Other,Black African,Black Caribbean,Black Other,Other Arab,Other Any other
Southwark,10840,6860,411,,719,78,59,132,98,69,166,210,100,83,601,1074,180,,
Southwark,12000,5673,462,,916,72,87,163,137,350,418,136,38,36,2517,735,260,,
Southwark,12697,5268,413,,898,46,134,162,116,336,686,61,52,37,3199,965,324,,
Southwark,11985,6719,475,,1005,58,94,153,126,133,340,214,55,78,1930,469,136,,
Southwark,12070,4991,357,,687,34,101,211,84,99,373,107,35,44,3284,1321,342,,
Southwark,12870,6395,536,,903,42,141,216,136,269,378,112,9,74,2371,1062,226,,
Southwark,10271,4756,316,,572,76,101,194,111,98,245,129,38,76,1552,1712,295,,
Southwark,11381,2928,220,,521,40,123,212,133,142,643,78,38,77,4060,1758,408,,
Southwark,11248,6788,376,,792,78,89,162,110,27,134,137,63,109,1015,1178,190,,
Southwark,10979,6950,386,,1256,68,68,83,68,56,325,141,41,50,1158,237,92,,
Southwark,11395,7240,301,,962,35,62,104,113,48,385,171,59,60,1394,352,109,,
Southwark,11631,7115,308,,798,63,71,123,119,55,407,130,28,59,1703,527,125,,
Southwark,11295,5799,314,,820,61,105,152,112,104,379,210,86,86,1633,1250,184,,
Southwark,11346,7649,289,,1273,94,76,78,100,32,468,231,35,56,688,214,63,,
Southwark,11973,6304,371,,749,91,72,224,179,46,238,121,94,72,1388,1695,329,,
Southwark,10484,7888,299,,785,104,57,94,78,25,113,260,35,49,286,349,62,,
Sutton,9941,8479,173,,270,56,16,60,38,35,73,264,45,124,113,168,27,,
Sutton,10423,8183,185,,378,86,26,84,33,52,146,421,62,197,307,211,52,,
Sutton,9790,7946,199,,488,79,20,30,58,27,204,328,108,143,79,62,19,,
Sutton,9833,8315,225,,385,83,7,77,39,20,127,175,43,112,85,120,20,,
Sutton,9747,8298,203,,265,72,12,64,25,27,97,269,62,114,102,117,20,,
Sutton,9695,7886,188,,386,86,18,45,73,27,198,375,67,209,86,43,8,,
Sutton,10160,8828,204,,234,56,5,48,38,10,152,195,69,208,45,59,9,,
Sutton,10798,9392,175,,220,57,34,116,34,16,121,121,36,149,165,147,15,,
Sutton,10327,8653,253,,291,70,9,74,51,25,154,243,63,200,115,116,10,,
Sutton,10016,8126,281,,481,75,20,98,59,73,161,152,63,127,170,108,22,,
Sutton,9675,8167,214,,320,70,9,42,63,60,117,172,76,126,129,98,12,,
Sutton,8827,6996,178,,538,92,9,41,63,24,226,245,60,151,103,89,12,,
Sutton,9980,8026,225,,517,80,24,52,55,13,231,300,128,132,120,70,7,,
Sutton,10384,9053,162,,238,52,43,96,47,63,103,139,57,59,128,128,16,,
Sutton,9974,8604,178,,289,69,30,63,46,18,78,166,56,98,137,116,26,,
Sutton,9602,8079,186,,324,72,15,61,39,38,126,203,58,133,93,160,15,,
Sutton,10722,9123,217,,244,47,45,119,61,21,80,170,80,121,171,179,44,,
Sutton,9874,8361,218,,304,72,16,35,66,29,197,195,83,170,60,63,5,,
Tower Hamlets,11765,5186,269,,713,88,47,106,75,3915,236,166,103,100,373,342,46,,
Tower Hamlets,13675,4289,222,,708,85,62,92,68,6609,281,162,137,138,469,289,64,,
Tower Hamlets,11939,6394,195,,1194,85,31,68,68,2066,772,181,122,102,395,229,37,,
Tower Hamlets,8797,5732,231,,476,57,41,116,55,877,178,133,51,35,285,477,53,,
Tower Hamlets,10421,6546,225,,647,59,39,129,63,1423,225,198,46,55,311,417,38,,
Tower Hamlets,11581,3882,172,,483,60,60,176,91,4639,438,167,78,74,701,466,94,,
Tower Hamlets,11496,5352,213,,464,67,64,115,54,3237,473,129,84,60,631,463,90,,
Tower Hamlets,12484,5605,229,,886,95,55,103,83,3684,545,139,80,86,514,318,62,,
Tower Hamlets,11801,5639,243,,650,69,47,85,81,3537,257,201,80,123,448,299,42,,
Tower Hamlets,11139,4356,215,,531,65,57,154,72,3896,279,203,85,124,539,478,85,,
Tower Hamlets,12892,6658,297,,1626,116,29,87,98,2027,897,199,52,94,371,291,50,,
Tower Hamlets,12679,4956,214,,494,100,41,76,49,5471,211,191,81,133,348,244,70,,
Tower Hamlets,11245,5535,275,,1324,102,48,47,70,2780,306,231,61,74,196,162,34,,
Tower Hamlets,12078,3772,219,,689,92,38,44,47,5922,292,171,109,136,253,256,38,,
Tower Hamlets,8383,1877,125,,547,43,27,35,61,4874,121,161,106,105,190,94,17,,
Tower Hamlets,11685,5014,285,,619,88,45,101,68,4358,157,117,61,138,346,225,63,,
Tower Hamlets,12046,3358,194,,774,77,58,34,65,6238,217,252,150,190,226,175,38,,
Waltham Forest,11388,4930,273,,796,83,82,218,132,183,230,481,775,329,1121,1522,233,,
Waltham Forest,10608,3980,206,,824,81,100,257,113,232,262,548,941,252,1268,1280,264,,
Waltham Forest,11098,7097,245,,558,88,79,182,94,40,145,187,530,226,459,1001,167,,
Waltham Forest,9497,8214,196,,409,40,14,53,40,3,68,58,63,54,113,151,21,,
Waltham Forest,10146,8363,222,,423,36,22,67,71,37,58,174,183,62,176,220,32,,
Waltham Forest,10427,4399,337,,676,113,75,130,113,120,220,548,1634,290,548,1094,130,,
Waltham Forest,11400,4550,309,,1020,95,69,136,135,193,287,792,1200,327,840,1266,181,,
Waltham Forest,10075,7743,211,,363,52,41,120,81,37,114,147,247,110,265,464,80,,
Waltham Forest,9879,8475,152,,296,54,29,71,47,37,37,129,100,56,152,187,57,,
Waltham Forest,11152,5343,325,,865,94,59,141,114,70,307,341,1553,454,534,800,152,,
Waltham Forest,11161,6154,236,,568,133,73,179,128,117,213,282,708,291,750,1076,253,,
Waltham Forest,11579,5823,321,,962,86,90,157,132,84,293,376,1281,375,606,835,158,,
Waltham Forest,10582,8439,200,,509,62,17,97,55,9,94,181,174,92,224,372,57,,
Waltham Forest,12340,4427,276,,1004,81,55,192,109,157,244,628,1670,286,1102,1831,278,,
Waltham Forest,12522,4472,288,,994,80,91,232,114,323,266,440,1409,333,1499,1608,373,,
Waltham Forest,10635,5246,301,,848,112,82,128,103,202,233,1061,740,214,511,730,124,,
Waltham Forest,10866,4591,241,,750,61,72,150,105,135,244,541,1729,358,651,1031,207,,
Waltham Forest,10680,7783,184,,619,62,32,122,74,66,88,155,222,122,491,522,138,,
Waltham Forest,10975,5431,250,,774,86,39,185,99,65,294,329,1178,603,589,886,167,,
Waltham Forest,11331,6234,339,,739,81,74,190,108,56,203,273,958,250,731,921,174,,
Wandsworth,12840,8777,342,,1269,98,57,77,110,45,266,404,280,182,307,551,75,,
Wandsworth,13017,8353,432,,1153,132,48,119,123,33,237,574,400,178,429,707,99,,
Wandsworth,12903,8752,364,,929,89,48,149,113,55,257,285,363,164,548,657,130,,
Wandsworth,13196,8958,405,,2024,118,54,88,142,12,395,255,198,134,191,177,45,,
Wandsworth,12034,8299,395,,1176,100,38,123,90,56,259,224,211,92,351,528,92,,
Wandsworth,13539,7455,479,,947,134,96,223,172,59,289,750,409,442,757,1162,165,,
Wandsworth,13213,6739,528,,990,125,53,193,123,107,387,988,545,801,523,939,172,,
Wandsworth,12596,6506,361,,1171,118,105,237,138,125,269,193,155,144,1451,1305,318,,
Wandsworth,13549,9220,387,,1267,106,49,117,97,114,233,408,240,145,379,680,107,,
Wandsworth,12851,9518,324,,1254,120,32,119,80,20,133,198,114,80,272,494,93,,
Wandsworth,12505,7114,391,,1347,91,88,199,118,52,284,210,142,129,1098,1031,211,,
Wandsworth,13011,8730,458,,1133,122,80,248,147,52,313,142,150,169,622,497,148,,
Wandsworth,12395,7739,352,,1514,94,78,138,88,24,285,175,128,70,728,817,165,,
Wandsworth,12464,9166,358,,1071,93,55,117,100,20,136,153,73,75,353,610,84,,
Wandsworth,14063,9494,463,,1579,114,85,96,100,52,260,277,443,144,424,456,76,,
Wandsworth,12344,9407,389,,1535,88,45,64,89,5,200,170,57,61,97,120,17,,
Wandsworth,13261,6505,453,,1043,149,78,169,146,183,343,1351,751,648,549,757,136,,
Wandsworth,13555,10251,401,,1047,109,43,107,98,31,166,190,211,92,267,458,84,,
Wandsworth,14356,8662,453,,2171,122,72,185,159,24,503,307,446,223,431,475,123,,
Wandsworth,12688,9020,416,,1542,125,48,125,103,30,349,158,133,111,236,244,48,,
Westminster,9554,4858,226,,2237,122,44,25,117,88,794,462,93,155,215,102,16,,
Westminster,8145,4105,300,,1891,122,32,62,85,171,483,251,63,130,244,168,38,,
Westminster,10669,4904,261,,2701,144,67,30,114,171,779,540,178,295,309,133,43,,
Westminster,8391,4778,334,,1253,98,74,88,118,400,393,95,93,122,329,171,45,,
Westminster,6490,2512,250,,1010,110,65,69,121,715,483,187,76,194,424,208,66,,
Westminster,8621,3452,484,,1217,148,75,123,153,374,402,144,70,166,601,1058,154,,
Westminster,10330,4017,243,,2812,211,54,42,188,143,967,514,186,428,342,143,40,,
Westminster,8949,4564,227,,2531,107,15,21,92,68,473,242,71,180,183,165,10,,
Westminster,12003,4818,303,,3528,185,93,77,205,164,1104,369,154,276,447,241,39,,
Westminster,8100,4192,315,,1795,115,47,58,125,179,439,215,76,175,216,122,31,,
Westminster,9647,5162,482,,1785,129,68,59,142,141,449,229,80,177,377,299,68,,
Westminster,8860,4374,230,,2361,92,52,25,114,122,561,387,75,116,245,83,23,,
Westminster,9179,3511,553,,1071,126,116,182,154,545,429,138,83,235,573,1222,241,,
Westminster,11049,4684,357,,2536,145,81,58,145,224,1022,704,193,327,376,153,44,,
Westminster,8658,5184,309,,1482,76,38,41,105,215,522,177,28,76,237,132,36,,
Westminster,8342,5324,361,,1432,74,20,74,83,142,301,126,39,43,160,120,43,,
Westminster,8630,4706,311,,1654,91,62,94,85,274,435,216,56,126,330,145,45,,
Westminster,8131,5057,279,,1510,91,36,45,83,97,253,175,68,77,190,139,31,,
Westminster,10075,3941,516,,1633,160,131,176,169,612,598,216,79,254,711,733,146,,
Westminster,7463,3795,233,,1764,90,34,33,60,155,616,278,67,62,169,76,31,,
